# QuotaPane author-name rewrite, 2026-07-28 — old SHA -> new SHA (git filter-repo commit-map). CUMULATIVE: filter-repo composes its map across runs.
# Use this file ALONE — it resolves original pre-G-half SHAs directly to current ones. Do NOT chain it after m6-sha-map.txt (that lookup misses); map 1 is kept only as the record of the intermediate G-half state.
old                                      new
1aa812ae3b0113d24c839fa734bf08a890e7ee0b 1dc8f8f17e03f258c06a75c75f30bd92a2ccecdf
22b8e96debbff1430c9ea414e1411dba73c4505a fb540d72ad8286254f309ee2db6bdf6ef6448559
2588fb512d67a1289f75a00bc900b1ef988e698b bf604283a13e28cee67160cc748aeade0a604eeb
2e630076e601490a94627559838e35683c36edbf 2af1b08cec0bd25a9be945cc7db11be2b97f51a3
330fa9efe6ff50ecccb764fb4d7d8d07ee83b203 721dfee514d5080141e65f2c2ae681de928a994e
34e6441d69b54f2bb71e906607a3ce3cd19fcd23 0a428b83114e62c57ed46dd7884f3420a1682caa
395ee4f35ba4b1e2c1eb1d6a3d857f535aa5803d a08b1fab06f8cc67b6e7893d6969749a62e1a097
41030a7e55433bf95be547a376df4022aec0b34b ca1207eddbe5d777346023704ce4237af8465d54
481b270384e4d9836823f29eeec93abffe760fd0 b0c343fc983e69170101493c2ed2caa52402840b
4d22e6e1dbad908adcab2e9fe17703bfc31b9815 81122d741b546b694b30399c8f617c535c29e680
502e786e818253072da5fb53f6067da22c947d9c 242f44bb523a789160084484dde8802a1c04ed18
52c73c6551ab1cf335f503f67b77c73b86486639 b63ea8932d0163f25b08f5bfab1e14608a94467f
53c16035bc7dabb907e2e76bde0eed89bb5f10c9 748613a4bd0f2a20f7003e4c311f0a2a7ccff828
588f9ae478fe067b98f473f893156455e9b7a651 f8f30344e50d857091b3e4e12b384dd0ec4f7c67
59bb3028877147c6ad36f3a555fd21961ddf148f d900188cffb93fb0aece0a1d9ec33e03a7418c1f
5d516604edd17b4a5a0dddb32477dc9f2ea09249 88034eb4f839312d7b5db752a8795f0099a4f3a8
5e5832dabfe85b040a5d7f5e5813ef90cc736160 181923dd3d5116f74e83e9e5cb5016dd78ed94fc
614a040d5f5f14f68597597f8e436b36ed92f27f b0d1cfe0e33b7d693177dd9b8ab2ee66916b95a4
69cc1624db63cc6ee96cf88ece353a7aaee164c6 aaba72a411e5b1e6b17d13834530cffdc8cb0b2d
6e275da9c8263f90ae5fb67c38121a9ea68facef c786ac39fc7686b59902f9cf4e63ba4a7e5ae151
7133bdb8a1ed0dc55029a103f1abfaed7d14e41a a662cdba1f7afc89aa7f369e72025838e74dcb2f
76b6421531217544a569c5558871c7bb515df782 b4425c960d3d85b72c829f403f4756607634a2b9
7e72282d743bcb662d6b11254a4f5c86e5475c0e 7b30651afddaf485c42913cbb0ad48bde7c786d3
81bc17bcb0a3b606cabefcee768e952a75b172c2 431d24e4cb51234cf4d6e0889fe751f573d42305
8447552ebea11e5a05cd56ead15adc79b6d74f4b 92810776476fea7e27fb60c7a77140f1be8504b2
86b67925c6f656e697c04a234eee6f7fc63da3d5 278bbba044f14631910b7e320a7cfad399817a81
8bd377d3ad1cc97c2167448f5c0c90e1338a1034 d29086725f26ddf01bc9ed62f1fbdccc36a24188
97f0e906fa7049e6556a728b7123514ec6b88590 e83b5444a9e5b355ce5f09e7566aba631e6eb4fc
a3cb497cff6dc27d71cddbccd4d5be3b9874af4e 9ad1990aa258544459db1b0e869c0e9399100839
a7f634bfbdc851e818e0149759672b3df96d51e1 a20d2a25444b7b3b2b0beb59d6fb15f28c7edc86
b0d8a3e06f7bb271d1bb0c07c00b3b921636e55c f23dbb0f498990a827ed959ea84b11a8a70778d9
b18644688685c382e3c180b6730148c92fa93183 bdbd3dac4f965ecf04963cca7170682eab6621cf
be5cca9c17bece9d58cce9afca8f21b9bebf8cb9 daae1929f2159281b44a18363391ea17e79c9d39
c62364a867c85b187f59e2a801a3fd6eeb93e95e db2f606b6a7ae49398176d89fb1a395580850e56
cb85e964a97599588aee15db7c7a43e40e4cece3 1fe142b6efee1f9be07ba6e2e9e2ad4c4a36436f
cda755366c3958c25351b5d3e1c19a6de26bc373 5defc4805024c11d14c1e0141a8010a29a680505
d45e0fceffa7e2bc83cd4c651d527203f53375c3 b80c9d73ac0e22fbe1ad60ed3464738891b9406e
d6f1fa3739811f669fa6a03bf6c96197529eea56 38686357d151d6a0e362a769072e834d0889a626
e2ac7d4ad1ba9f0237ee6bcdaf9529b2793c5700 8c3b6050117812c82df334e96937790e32800157
e608a588eb60fc62b2bcff4258f32b0fe1aa965c 7d9fe590ce4216fc494c9b30439820bfba14e174
e6e6a2301a567a156d4bb6982a7ce0b76880179d 9d9504e8ff81e73f7cccdbaee8e770008e02b71c
ea134d67d97c1210e8c02974ef9325cc434154af 94341069f32b3a2cc94aa0dc243a9548a9f148cf
ec1d7405e2b0edf81dc79bdc78e4be277c1d74ca 4bb40acf05a1f7ae242240e394cd740c2b605ba2
ec9f9a44ee6f9b23fd518606c372abd973c0b0c4 e36754b5289b4256773b0d0a283bc93e55d1bb78
ed4cc5ef191519d76cc6a1cef38d8e6db26ed387 ab2a72d8e24ebe5cec7fd0a90bd36ee9b374af40
