# QuotaPane history identity rewrite, 2026-07-28 — old SHA -> new SHA (git filter-repo commit-map).
# Every SHA pinned in DECISIONS.md and prompts/*.md predates this rewrite; verify such pins by transposing through this map.
old                                      new
1aa812ae3b0113d24c839fa734bf08a890e7ee0b 5ee90cdbbbac194e8ed5040126c8b9f309608c84
22b8e96debbff1430c9ea414e1411dba73c4505a 04b67009c11f98aff8dbc3830b27327339460964
2588fb512d67a1289f75a00bc900b1ef988e698b 60ddeb1b3bc874b32fcd8db376c98f243e414b17
2e630076e601490a94627559838e35683c36edbf 214080b4f9860ac5f6ad7024faa04263e4ebe292
330fa9efe6ff50ecccb764fb4d7d8d07ee83b203 19e1b26782e0f88c54e7ee1a4f5f0cbd8d5a2157
34e6441d69b54f2bb71e906607a3ce3cd19fcd23 c79f9cf65c3ac5d7edacbe4f0f78b3a166dfe911
395ee4f35ba4b1e2c1eb1d6a3d857f535aa5803d 75b17cc422d3833ac63613add78a4e7bbdf5583b
41030a7e55433bf95be547a376df4022aec0b34b e4d16e328594cdac1a94e99be16b5dd5cff85dbc
4d22e6e1dbad908adcab2e9fe17703bfc31b9815 fba15b8f135c69a5254baf215c982ec58d21dcda
502e786e818253072da5fb53f6067da22c947d9c 8b60e74edea1f415ee73c5f41e52572ccec2e776
52c73c6551ab1cf335f503f67b77c73b86486639 c85462820b329a105ca4f7150edb762fd528af31
53c16035bc7dabb907e2e76bde0eed89bb5f10c9 fc24145304bb9092483c09a56789750c7127871f
588f9ae478fe067b98f473f893156455e9b7a651 ad1dc92107a1e7f527539931d33383efa24d7a3d
59bb3028877147c6ad36f3a555fd21961ddf148f 40f46235e6739b25c4eaea874e7605bc56df53f7
5d516604edd17b4a5a0dddb32477dc9f2ea09249 1b8c920e6bce852334410abeda2c698c36afdeec
5e5832dabfe85b040a5d7f5e5813ef90cc736160 8fb7cfe455582e1bdff3f4313d9bc5815585a555
69cc1624db63cc6ee96cf88ece353a7aaee164c6 d8720c9aaefa7921898d9de913a24f5338357cda
6e275da9c8263f90ae5fb67c38121a9ea68facef fa1b9ce782bcd5d4a0c83ac2619f43de5eefcc54
7133bdb8a1ed0dc55029a103f1abfaed7d14e41a 80e61a35a653eba05b8e37fb4b3899cffe5e15bc
76b6421531217544a569c5558871c7bb515df782 dbc1f6e20dcbe7b8f83196cd47ba83cecab20452
7e72282d743bcb662d6b11254a4f5c86e5475c0e 43d72b4b55f125e5d9bde6598af341deedbbc014
81bc17bcb0a3b606cabefcee768e952a75b172c2 d25f507d473402431093999cca3158045f1c2096
8447552ebea11e5a05cd56ead15adc79b6d74f4b 10fbb9fbb476e09074d86f98999de22256a8f0b6
86b67925c6f656e697c04a234eee6f7fc63da3d5 bcdd663d609d5c4849cd2493e2003cdbe7b055aa
8bd377d3ad1cc97c2167448f5c0c90e1338a1034 249ad82fe00fcd5590ac6d06df2684e756011895
97f0e906fa7049e6556a728b7123514ec6b88590 c48c9e71ba16ba10bc6d6322c2ee9d962d3ebf91
a3cb497cff6dc27d71cddbccd4d5be3b9874af4e 1ecbd45b05866840628d02e3efe663a107bb31b6
a7f634bfbdc851e818e0149759672b3df96d51e1 2b3b70ac39d5a23c434fd6299dda2353a3be2a8e
b0d8a3e06f7bb271d1bb0c07c00b3b921636e55c 6acce3e3e94cc0d332b7d3c7997d036e40e26f27
b18644688685c382e3c180b6730148c92fa93183 9fa299070490dc3d0e2dddebab618d515c9014d9
be5cca9c17bece9d58cce9afca8f21b9bebf8cb9 17d5ad6d814d0edd4e154808b7f03378487d626b
c62364a867c85b187f59e2a801a3fd6eeb93e95e 0155dcb5c6cb0487b8d7c4d86941ac14d8faf370
cb85e964a97599588aee15db7c7a43e40e4cece3 56de0d84270e1a7db90a85419c1ec93c9d8ed4c9
cda755366c3958c25351b5d3e1c19a6de26bc373 d3f1287f8d36fb10ac9b7ae03032590bad67f144
d45e0fceffa7e2bc83cd4c651d527203f53375c3 1bf950781901da5e15bac161d17b7055b2e4908a
d6f1fa3739811f669fa6a03bf6c96197529eea56 545968d52337d8bae6f951a512e88720d3401eee
e2ac7d4ad1ba9f0237ee6bcdaf9529b2793c5700 652c47ab3d018645b51139d5cff0a46d27bfbea5
e608a588eb60fc62b2bcff4258f32b0fe1aa965c 2934a320dde01ff262103e2768304dfbefeb92b3
e6e6a2301a567a156d4bb6982a7ce0b76880179d 09e1b82583ad5ac85e4c17dc004bf63200786205
ea134d67d97c1210e8c02974ef9325cc434154af 5e315ba6e44af89efda27056328e151acef3bbfa
ec1d7405e2b0edf81dc79bdc78e4be277c1d74ca 0eec4e6c7802a2e7ff54654e8fe5415411e62341
ec9f9a44ee6f9b23fd518606c372abd973c0b0c4 7ddc764d112bdc9d408a86be4740908f86d671e8
ed4cc5ef191519d76cc6a1cef38d8e6db26ed387 d3392832b84b9b08b04880495eff20ec5925671c
